doi,title,abstract,categories,publishedDate,suppItems,assetLink
10.26434/chemrxiv-2025-2bst5,Feature-Driven Prediction of HOMO-LUMO Gaps in Transition Metal Complexes Using the SLEET Model: A SMILES-Based Transformer Framework,"A feature-driven model - SLEET built upon the early reported SchNet-bs-RAN framework, that combines the approaches of SchNet and the bondstep representation weighted by the reduced atom number, is reported for evaluating the molecular electronic structure properties of transition metal complexes (TMCs). Ligands were derived by segmenting purely two-dimensional SMILES representations, and metal-ligand interactions were modeled using a Transformer-like architecture to construct a property prediction framework that aligns closely with chemical knowledge. This approach effectively captures the characteristics of ligand field within TMCs. Consequently, the SLEET model delivers precise HOMO-LUMO gap predictions comparable to those achieved by three-dimensional information-based models, while also demonstrates strong performance in predicting the molecular-weight-independent electronic properties.",Theoretical and Computational Chemistry; Organometallic Chemistry; Machine Learning; Artificial Intelligence; Transition Metal Complexes (Organomet.),2025-06-19T06:07:38.155Z,"[{'title': 'Supplementary Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684fc58d3ba0887c33d4ba55/original/supplementary-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684f86e8c1cb1ecda04277ab/original/feature-driven-prediction-of-homo-lumo-gaps-in-transition-metal-complexes-using-the-sleet-model-a-smiles-based-transformer-framework.pdf
10.26434/chemrxiv-2025-l0zqz,IR–NMR Multimodal Computational Spectra Dataset for 177K Patent-Extracted Organic Molecules,"The construction of predictive models in molecular science increasingly relies on large, high-quality datasets. Synthetic data generation is becoming a foundational strategy for advancing model accuracy and enabling fast discovery workflows. To support the development of structure elucidation and spectral property prediction models, we present a comprehensive synthetic dataset of infrared (IR) and nuclear magnetic resonance (NMR) spectra for a diverse ensemble of organic molecules. The data were generated using a hybrid computational approach that integrates molecular dynamics (MD) simulations, density functional theory (DFT) calculations, and machine learning (ML) models. The dataset primarily consists of IR spectra for 177,461 molecules, derived from long-timescale MD simulations with ML-accelerated dipole moment predictions. In addition, it includes a smaller subset of 1H-NMR and 13C-NMR chemical shifts for 1,255 molecules. This unique combination of spectral data offers a valuable resource for benchmarking and validating computational methodologies, developing and enhancing artificial intelligence (AI) models for molecular property prediction, and facilitating the interpretation of experimental spectroscopic results. The dataset is publicly available through Zenodo, encouraging its broad utilization within the scientific community.",Theoretical and Computational Chemistry; Inorganic Chemistry; Computational Chemistry and Modeling; Artificial Intelligence; Chemoinformatics - Computational Chemistry,2025-06-19T04:53:08.371Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684f1f86c1cb1ecda0230ceb/original/ir-nmr-multimodal-computational-spectra-dataset-for-177k-patent-extracted-organic-molecules.pdf
10.26434/chemrxiv-2025-bk2rh-v2,GoFlow: Efficient Transition State Geometry Prediction with Flow Matching and E(3)-Equivariant Neural Networks,"Transition state (TS) geometries of chemical reactions are key to understanding reaction mechanisms and estimating kinetic properties. Inferring these directly from 2D reaction graphs offers chemists a powerful tool for rapid and accessible reaction analysis. Quantum chemical methods for computing TSs are computationally intensive and often infeasible for larger molecular systems. Recently, deep learning–based diffusion models have shown promise in generating TSs from 2D reaction graphs for single-step reactions. However, framing TS generation as a diffusion process, by design, requires a prohibitively large number of sampling steps during inference. Here we show that modeling TS generation as an optimal transport flow problem, solved via E(3)-equivariant flow matching with geometric tensor networks, achieves over a hundredfold speedup in inference while improving geometric accuracy compared to the state-of-the-art. This breakthrough increase in sampling efficiency and predictive accuracy enables the practical use of deep learning-based TS generators in high-throughput settings for larger and more complex chemical systems. Our method, GoFlow, thus represents a significant methodological advancement in machine learning-based TS generation, bringing it closer to widespread use in computational chemistry workflows.",Theoretical and Computational Chemistry; Machine Learning; Artificial Intelligence,2025-06-18T07:12:26.993Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6850098f3ba0887c33dbd713/original/go-flow-efficient-transition-state-geometry-prediction-with-flow-matching-and-e-3-equivariant-neural-networks.pdf
10.26434/chemrxiv-2025-1d293-v2,General reactive machine learning potentials for CHON elements,"Accurate and efficient modeling of chemical reactions is paramount for advancements in catalysis, synthesis, and materials design.  Machine learning potentials (MLPs) offer a computationally efficient alternative to \textit{ab initio} methods; however, developing broadly applicable reactive MLPs remains challenging due to inherent chemical complexity. Here, we present a scalable workflow for developing reactive MLPs specifically tailored to C, H, O, N-containing systems.  Our approach involves constructing a large-scale pre-training dataset of over 17 million non-equilibrium structures along chemical reaction pathways, generated by combining the Nudged Elastic Band (NEB) method and structure alignment algorithms, with energies and forces labelled at the semi-empirical level.  Subsequently, a high-precision fine-tuning dataset containing over 200,000 structures was efficiently built at the Density Functional Theory (DFT) level by integrating active learning methods.  An array of model architectures and training paradigms, including pretraining-finetuning and transfer learning frameworks, were systematically benchmarked through rigorous evaluations. Through this process, we developed an optimized MLP model demonstrating state-of-the-art performance in both predictive accuracy and generalization capability for reactive chemical environments involving C, H, O, and N elements.  Notably, when integrated with the machine-learned DFT model developed in our prior work, the resulting model achieves accuracy closely approaching that of coupled cluster calculations and demonstrably outperforms many conventional DFT methods across diverse reactive systems.  This work establishes a robust framework for constructing highly accurate and transferable reactive MLPs, paving the way for large-scale, high-fidelity simulations of complex chemical processes relevant to numerous scientific and engineering disciplines.",Theoretical and Computational Chemistry; Physical Chemistry; Computational Chemistry and Modeling; Machine Learning; Artificial Intelligence,2025-06-18T07:07:42.593Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684ffe583ba0887c33dad39b/original/general-reactive-machine-learning-potentials-for-chon-elements.pdf
10.26434/chemrxiv-2025-ct5k8-v3,Considering the Ethics of Large Machine Learning Models in the Chemical Sciences,"Foundation models, including large language models, vision-language models, and similar large-scale machine learning tools, are quickly becoming ubiquitous in society and in the professional world. Chemical practitioners are not immune to the appeal of foundation models, nor are they immune to the many risks and harms that these models introduce. In this work, I present the first analysis of foundation models using the combined lens of scientific ethics and chemical professional ethics. I find that general-purpose generative foundation models are in many ways incompatible with the ethical practice of chemistry, though there are fewer ethical problems with chemistry-specific foundation models. My discussion concludes with an examination of how the harm associated with foundation models can be minimized and further poses a set of lingering questions for chemical practitioners and scientific ethicists.",Theoretical and Computational Chemistry; Chemical Education; Chemical Education - General; Machine Learning; Artificial Intelligence,2025-06-17T06:28:21.413Z,"[{'title': 'Supplementary Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684cc41d3ba0887c332efa7c/original/supplementary-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/684cc41d3ba0887c332efa73/original/considering-the-ethics-of-large-machine-learning-models-in-the-chemical-sciences.pdf
10.26434/chemrxiv-2025-6wv52,Pushing Charge Equilibration Based Machine Learning Potentials to their Limits,"Machine learning (ML) has demonstrated its potential in atomistic simulations to bridge the gap between accurate first-principles methods and computationally efficient empirical potentials. This is achieved by learning mappings between a system's structure and its physical properties. State-of-the-art models for potential energy surfaces typically represent chemical structures through (semi-)local atomic environments. However, this approach neglects long-range interactions (most notably electrostatics) and non-local phenomena such as charge transfer, leading to significant errors in the description of molecules or materials in polar anisotropic environments. To address these challenges, ML frameworks that predict self-consistent charge distributions in atomistic systems using the Charge Equilibration (QEq) method are currently popular. In this approach, atomic charges are derived from an electrostatic energy expression that incorporates environment-dependent atomic electronegativities. Herein, we explore the limits of this concept at the example of the previously reported Kernel Charge Equilibration (kQEq) approach, combined with local short-ranged potentials. To this end we consider prototypical systems with varying total charge states and applied electric fields. We find that charge equilibration based models perform well in most situations. However, we also find that some pathologies of conventional QEq carry over to the ML variants in the form of spurious charge transfer and overpolarization in the presence of static electric fields. This indicates a need for new methodological developments.",Theoretical and Computational Chemistry; Machine Learning,2025-06-21T11:30:59.287Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6852560fc1cb1ecda09cec43/original/pushing-charge-equilibration-based-machine-learning-potentials-to-their-limits.pdf
10.26434/chemrxiv-2025-332z0,Machine learning generalised DFT+U projectors in a numerical atom-centred orbital framework,"Accurate electronic structure simulations of strongly correlated metal oxides are crucial for the atomic level understanding of heterogeneous catalysts, batteries and photovoltaics; but remain challenging to perform in a computationally tractable manner. Hubbard corrected density functional theory (DFT+U) in a numerical atom-centred orbital framework, has been shown to address this challenge but is susceptible to numerical instability when simulating common transition metal oxides (TMOs) e.g., TiO2, and rare-earth metal oxides (REOs) e.g., CeO2, necessitating the development of advanced DFT+U parameterisation strategies. In this work, the numerical instabilities of DFT+U are traced to the default atomic Hubbard projector, which we refine for Ti 3d orbitals in TiO2 using Bayesian optimisation, with a cost function and constraints defined using symbolic regression (SR) and support vector machines, respectively. The optimised Ti 3d Hubbard projector enables the numerically stable simulation of electron polarons at intrinsic and extrinsic defects in both anatase and rutile TiO2, with comparable accuracy to hybrid-DFT at several orders of magnitude lower computational cost. We extend the method by defining a general first-principles approach for optimising Hubbard projectors, based on reproducing orbital occupancies calculated using hybrid-DFT. Using a hierarchical SR-defined cost function that depends on DFT-predicted orbital occupancies, basis set parameters and atomic material descriptors, a generalised workflow for the one-shot computation of Hubbard U values and projectors is presented. The method transferability is shown for 10 prototypical TMOs and REOs, with demonstrable accuracy for unseen materials, that extends to complex battery cathode materials like LiCo(1-x)Mg(x)O(2-x). The work highlights the integration of advanced machine learning algorithms to develop cost-effective and transferable workflows for DFT+U parameterisation, enabling more accurate and efficient simulations of strongly correlated metal oxides.",Theoretical and Computational Chemistry; Catalysis; Computational Chemistry and Modeling; Machine Learning; Artificial Intelligence; Materials Chemistry,2025-06-20T08:32:31.852Z,"[{'title': 'Supplementary Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68519d63c1cb1ecda0863c7a/original/supplementary-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/685199063ba0887c330b26c6/original/machine-learning-generalised-dft-u-projectors-in-a-numerical-atom-centred-orbital-framework.pdf
10.26434/chemrxiv-2025-ktjh4,Enhancing Electrostatic Embedding for ML/MM Free Energy Calculations,"Hybrid ML/MM approaches that combine machine learning (ML) potentials with molecular mechanics (MM) potentials offer a promising balance between computational cost and accuracy. Most ML/MM simulations reported to date employ mechanical embedding schemes, and rely on Lennard-Jones and Coulomb potentials to model intermolecular interactions between the ML and MM regions. A promising approach to improving ML/MM schemes is to use electrostatic embedding, where polarization effects on the ML region by the MM region are explicitly incorporated. The electrostatic machine learning embedding (EMLE) method has been developed for this purpose.  Here, we compute absolute hydration free energies for a set of small organic molecules to derive robust methodologies for training EMLE models using quantum mechanical data. We establish protocols for fine-tuning the static and induced components of electrostatic interactions and evaluate the accuracy limits of fitting these components to first-principles calculations. We also introduce an empirical adjustment to enhance agreement with experimental results, strengthening the competitiveness of ML/MM simulations relative to state-of-the-art methods. Overall, our findings provide valuable insights into the challenges and opportunities of electrostatic embedding ML/MM simulations, and offer strategies for achieving robust modelling of classes of drug-like molecules where the accuracy of conventional MM force fields fall short.",Theoretical and Computational Chemistry; Computational Chemistry and Modeling; Machine Learning; Chemoinformatics - Computational Chemistry,2025-06-20T08:27:48.217Z,"[{'title': 'Supporting Information: Enhancing Electrostatic Embedding for ML/MM Free Energy Calculations', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68518a4b3ba0887c33080ec8/original/supporting-information-enhancing-electrostatic-embedding-for-ml-mm-free-energy-calculations.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/685186941a8f9bdab5009b39/original/enhancing-electrostatic-embedding-for-ml-mm-free-energy-calculations.pdf
10.26434/chemrxiv-2025-bktvd,Conformational analysis of macrocyclic compounds using a machine-learned interatomic potential,"Macrocyclic compounds play a vital role in many chemical and biological systems, yet their conformational analysis remains a significant challenge. In this work, we investigate the conformational landscape of macrocyclic compounds using a machine-learned interatomic potential (MLIP) based on a Nequip-like graph neural network. This MLIP is trained on the energy differences between ωB97XD3 and GFN1-xTB. The model not only reproduces the DFT relative conformer energies of the macrocycles with high fidelity but also yields optimized structures that are practically identical to those obtained via density functional theory. Furthermore, when integrated into a metadynamics-based conformational sampling framework (CREST), we recover structures that very closely match the structure obtained after gas-phase optimization with DFT starting from the crystal structure. These results underscore the potential of machine learning to overcome longstanding challenges in the conformational analysis of complex macrocyclic systems. ",Theoretical and Computational Chemistry; Machine Learning; Artificial Intelligence; Chemoinformatics - Computational Chemistry,2025-06-19T12:17:08.800Z,[],https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/685166913ba0887c3303c0a7/original/conformational-analysis-of-macrocyclic-compounds-using-a-machine-learned-interatomic-potential.pdf
10.26434/chemrxiv-2024-1dw4q-v2,Inverse Design of Complex Nanoparticle Heterostructures via Deep Learning on Heterogeneous Graphs,"Applications of deep learning (DL) to design nanomaterials are hampered by a lack of suitable data representations and training data. We report efforts to overcome these limitations and leverage DL to optimize the nonlinear optical properties of core-shell upconverting nanoparticles (UCNPs). UCNPs, which have applications in e.g., biosensing, super-resolution microscopy, and 3D printing, can emit visible and ultraviolet light from near-infrared excitations. We report the first large-scale dataset of UCNP emission spectra based on accurate but expensive kinetic Monte Carlo simulations (N > 6,000) and use this data to train a heterogeneous graph neural network (GNN) using a novel representation of UCNP nanostructure. Applying gradient-based optimization on the trained GNN, we identify structures with 6.5x higher predicted emission under 800nm illumination than any UCNP in our training set. Our work reveals new design principles for UCNPs and presents a roadmap for DL-based inverse design of nanomaterials.",Theoretical and Computational Chemistry; Physical Chemistry; Nanoscience; Nanostructured Materials - Nanoscience; Machine Learning; Optics,2025-06-18T07:15:55.844Z,"[{'title': 'Supporting Information', 'assetLink': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/685012c33ba0887c33dcd5eb/original/supporting-information.pdf'}]",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/685012c23ba0887c33dcd5dc/original/inverse-design-of-complex-nanoparticle-heterostructures-via-deep-learning-on-heterogeneous-graphs.pdf
